French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
un char,машина; автомобиль,m,"Mon <b>char</b> est au garage pour réparation.","Моя <b>машина</b> в мастерской на ремонте.","Québec. France: une voiture.",🚗
chauffer,водить (машину),v,"C'est mon père qui <b>chauffe</b> ce soir.","Сегодня вечером за рулём <b>мой папа</b>.","Québec. France: conduire.",🚘
le gaz,бензин,m,"Il faut mettre du <b>gaz</b> dans le char.","Надо <b>заправить</b> машину.","Québec. France: l'essence.",⛽
gazer; tinker,заправляться,v,"Je dois <b>gazer</b> avant de partir.","Мне нужно <b>заправиться</b> перед отъездом.","Québec. France: faire le plein.",⛽
une license,водительские права,f,"J'ai eu ma <b>license</b> à 16 ans.","Я получил <b>права</b> в 16 лет.","Québec. Англицизм (фр. licence). France: le permis de conduire.",🪪
parquer,парковать,v,"Tu peux <b>parquer</b> ton char ici.","Можешь <b>припарковать</b> машину здесь.","Québec. France: garer.",🅿️
une valise,багажник (авто),f,"Mets les sacs dans la <b>valise</b>.","Положи сумки в <b>багажник</b>.","Québec. France: le coffre. ⚠️ Faux ami!",🧳
un bicycle,велосипед,m,"Je vais au travail en <b>bicycle</b>.","Я езжу на работу на <b>велосипеде</b>.","Québec. France: un vélo.",🚲
le déjeuner,завтрак,m,"Je prends mon <b>déjeuner</b> à 7h.","Я <b>завтракаю</b> в 7 утра.","Québec. France: petit-déjeuner.",🍳
le dîner,обед,m,"On se voit pour le <b>dîner</b> à midi ?","Увидимся на <b>обед</b> в полдень?","Québec. France: déjeuner.",🥗
le souper,ужин,m,"Le <b>souper</b> est prêt !","<b>Ужин</b> готов!","Québec. France: le dîner.",🍽️
un breuvage,напиток,m,"Tu veux un <b>breuvage</b> ?","Хочешь <b>напиток</b>?","Québec. France: une boisson.",🥤
la broue,пиво,f,"On va prendre une <b>broue</b> après le travail ?","Пойдём выпьем <b>пива</b> после работы?","Québec. Familier. France: une bière.",🍺
le blé d'Inde,кукуруза,m,"J'adore le <b>blé d'Inde</b> grillé l'été.","Обожаю жареную <b>кукурузу</b> летом.","Québec. France: le maïs.",🌽
un bleuet,черника,m,"On va cueillir des <b>bleuets</b> au Lac-Saint-Jean.","Едем собирать <b>чернику</b> на Лак-Сен-Жан.","Québec. France: une myrtille.",🫐
la crème glacée,мороженое,f,"Je veux de la <b>crème glacée</b> au chocolat.","Хочу шоколадное <b>мороженое</b>.","Québec. France: une glace.",🍦
les bines,фасоль; бобы,f pl,"Les <b>bines</b> au lard, c'est typiquement québécois.","<b>Фасоль</b> с беконом — типично квебекское блюдо.","Québec. De l'anglais beans.",🫘
une échalote,зелёный лук,f,"Ajoute des <b>échalotes</b> dans la salade.","Добавь <b>зелёного лука</b> в салат.","Québec. France: un oignon vert. ⚠️ Faux ami!",🧅
un chum,парень; бойфренд,m,"Je te présente mon <b>chum</b>, Marc.","Познакомься, это мой <b>парень</b> Марк.","Québec. France: copain, petit ami.",👦💕
une blonde,девушка; подруга,f,"Ma <b>blonde</b> vient du Saguenay.","Моя <b>девушка</b> из Сагенея.","Québec. France: copine. ⚠️ Pas la couleur des cheveux!",👩💕
un chum de gars,друг (мужчина),m,"C'est mon <b>chum de gars</b>, on se connaît depuis 20 ans.","Это мой <b>друг</b>, мы знакомы 20 лет.","Québec. Pour différencier de chum (amoureux).",👬
donner un bec,поцеловать (в щёку),expr,"Donne-moi un <b>bec</b> avant de partir !","<b>Поцелуй</b> меня перед уходом!","Québec. France: faire la bise.",💋
une tuque,шапка; вязаная шапка,f,"Mets ta <b>tuque</b>, il fait frette !","Надень <b>шапку</b>, холодно!","Québec. France: un bonnet.",🧢
des mitaines,варежки; перчатки,f pl,"N'oublie pas tes <b>mitaines</b> !","Не забудь <b>варежки</b>!","Québec. France: des moufles, des gants.",🧤
un chandail,свитер; кофта,m,"Mets un <b>chandail</b>, il fait froid.","Надень <b>свитер</b>, холодно.","Québec. France: un pull.",🧥
des bas,носки,m pl,"Il me faut des <b>bas</b> chauds pour l'hiver.","Мне нужны тёплые <b>носки</b> на зиму.","Québec. France: des chaussettes.",🧦
des bobettes,трусы; нижнее бельё,f pl,"Change tes <b>bobettes</b> !","Смени <b>трусы</b>!","Québec. Familier. France: slip, caleçon.",🩲
des gougounes,шлёпанцы; сланцы,f pl,"En été, je porte toujours des <b>gougounes</b>.","Летом я всегда ношу <b>шлёпанцы</b>.","Québec. Aussi: babouches. France: des tongs.",🩴
des espadrilles,кроссовки,f pl,"J'ai acheté des nouvelles <b>espadrilles</b> pour courir.","Купил новые <b>кроссовки</b> для бега.","Québec. France: des baskets. ⚠️ Faux ami!",👟
un costume de bain,купальник; плавки,m,"N'oublie pas ton <b>costume de bain</b> pour la piscine.","Не забудь <b>купальник</b> для бассейна.","Québec. France: maillot de bain.",🩱
un dépanneur; un dep,магазинчик; минимаркет,m,"Je vais au <b>dep</b> chercher du lait.","Иду в <b>магазин</b> за молоком.","Québec uniquement. France: supérette, épicerie.",🏪
magasiner,ходить по магазинам,v,"J'aime <b>magasiner</b> le samedi.","Люблю <b>ходить по магазинам</b> в субботу.","Québec. France: faire du shopping.",🛍️
une piasse; une piastre,доллар (канадский),f,"Ça coûte dix <b>piasses</b>.","Это стоит десять <b>баксов</b>.","Québec. Familier.",💵
le tip,чаевые,m,"N'oublie pas de laisser un <b>tip</b>.","Не забудь оставить <b>чаевые</b>.","Québec (anglicisme). France: le pourboire.",💰
tiper,давать чаевые,v,"Au Québec, on <b>tipe</b> 15-20%.","В Квебеке <b>дают чаевые</b> 15-20%.","Québec. France: laisser un pourboire.",💸
la fin de semaine,выходные,f,"Qu'est-ce que tu fais en <b>fin de semaine</b> ?","Что делаешь на <b>выходных</b>?","Québec. France: le week-end.",📅
la fête,день рождения,f,"C'est ma <b>fête</b> demain, j'ai 30 ans !","Завтра мой <b>день рождения</b>, мне 30!","Québec. France: anniversaire.",🎂
un courriel,электронная почта; имейл,m,"Envoie-moi un <b>courriel</b> avec les détails.","Отправь мне <b>имейл</b> с деталями.","Québec (officiel). France: e-mail, mail.",📧
un cellulaire,мобильный телефон,m,"Appelle-moi sur mon <b>cellulaire</b>.","Позвони мне на <b>мобильный</b>.","Québec. France: un portable.",📱
barrer,закрывать на ключ,v,"N'oublie pas de <b>barrer</b> la porte.","Не забудь <b>закрыть</b> дверь на ключ.","Québec. France: fermer à clé.",🔐
canceller,отменять,v,"J'ai dû <b>canceller</b> mon rendez-vous.","Мне пришлось <b>отменить</b> встречу.","Québec (anglicisme). France: annuler.",❌
une débarbouillette,мочалка для лица,f,"Passe-moi la <b>débarbouillette</b>.","Передай мне <b>мочалку</b>.","Québec. France: gant de toilette.",🧽
une laveuse,стиральная машина,f,"La <b>laveuse</b> est au sous-sol.","<b>Стиральная машина</b> в подвале.","Québec. France: machine à laver.",🧺
une sécheuse,сушильная машина,f,"Mets le linge dans la <b>sécheuse</b>.","Положи бельё в <b>сушилку</b>.","Québec. France: sèche-linge.",👕
la pâte à dents,зубная паста,f,"Il me faut de la <b>pâte à dents</b>.","Мне нужна <b>зубная паста</b>.","Québec. France: le dentifrice.",🦷
frette,холодно (о погоде),adj,"Il fait <b>frette</b> aujourd'hui, moins 30 !","Сегодня <b>холодно</b>, минус 30!","Québec. Prononciation de froid.",🥶
un maringouin,комар,m,"Les <b>maringouins</b> sont terribles cet été.","<b>Комары</b> ужасные этим летом.","Québec. France: un moustique.",🦟
une bibitte,насекомое; букашка,f,"Il y a une <b>bibitte</b> dans ma chambre !","В моей комнате <b>какое-то насекомое</b>!","Québec. Familier. France: un insecte.",🐛
la poudrerie,метель; позёмка,f,"Attention sur la route, il y a de la <b>poudrerie</b>.","Осторожно на дороге, там <b>позёмка</b>.","Québec. France: le blizzard.",❄️🌬️
la slotche,снежная каша,f,"Il y a de la <b>slotche</b> partout sur les trottoirs.","Везде на тротуарах <b>снежная каша</b>.","Québec. France: neige fondue.",🌨️
