French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
je,я,<b>Je</b> suis étudiant à Montréal.,<b>Я</b> студент в Монреале.,👤,pron
ne,не (отрицание),Je <b>ne</b> comprends pas cette phrase.,Я <b>не</b> понимаю эту фразу.,🚫,adv
la,определённый артикль (ж.р.),<b>La</b> maison est grande.,Дом большой.,📎,art
et,и,Mon mari <b>et</b> moi cherchons un appartement à Montréal.,Мой муж <b>и</b> я ищем квартиру в Монреале.,➕,conj
le,определённый артикль (м.р.),<b>Le</b> livre est sur la table.,Книга на столе.,📎,art
à,в; к; на,J'habite <b>à</b> Québec depuis deux ans.,Я живу <b>в</b> Квебеке два года.,📍,prep
pas,не (с ne),Ce n'est <b>pas</b> difficile d'apprendre le français.,<b>Не</b> сложно учить французский.,🙅,adv
les,определённый артикль (мн.ч.),<b>Les</b> enfants jouent dehors.,Дети играют на улице.,📎,art
l',определённый артикль (перед гласной),<b>L'</b>hiver au Québec est long.,Зима в Квебеке долгая.,📎,art
tu,ты,<b>Tu</b> viens avec moi ?,<b>Ты</b> идёшь со мной?,👤,pron
vous,вы; Вы (вежл.),<b>Vous</b> êtes d'où ?,<b>Вы</b> откуда?,👥,pron
d',предлог de (перед гласной),Je viens <b>d'</b>arriver.,Я только что приехал.,📎,prep
des,неопределённый артикль (мн.ч.),Il y a <b>des</b> pommes sur la table.,На столе есть яблоки.,📎,art
on,мы (разг.),<b>On</b> va manger de la poutine ce soir.,<b>Мы</b> будем есть путин сегодня вечером.,👥,pron
qui,который; кто,La fille <b>qui</b> parle est ma soeur.,"Девушка, <b>которая</b> говорит — моя сестра.",❓,pron
ça,это (разг.),<b>Ça</b> ne me dérange pas du tout.,<b>Это</b> меня совсем не беспокоит.,👆,pron
dans,в (внутри),Il y a beaucoup de parcs <b>dans</b> cette ville.,В этом городе много парков.,📦,prep
elle,она,<b>Elle</b> habite à Québec.,<b>Она</b> живёт в Квебеке.,👩,pron
du,слитный артикль (de + le),Je bois <b>du</b> café.,Я пью кофе.,📎,art
mais,"но, однако","J'aime Montréal, <b>mais</b> je préfère Québec.","Я люблю Монреаль, <b>но</b> предпочитаю Квебек.",↩️,conj
me,меня; мне,Il <b>me</b> parle en français.,Он говорит <b>мне</b> по-французски.,👤,pron
plus,больше; более,Il fait <b>plus</b> froid ici qu'en France.,"Здесь <b>более</b> холодно, чем во Франции.",➕,adv
nous,мы; нас; нам,<b>Nous</b> allons au cinéma.,<b>Мы</b> идём в кино.,👥,pron
au,слитный артикль (à + le),Je vais <b>au</b> travail.,Я иду на работу.,📎,art
se,себя (возвр.),Elle <b>se</b> lève tôt.,Она встаёт рано.,🔄,pron
y,туда; там,J'<b>y</b> vais demain.,Я иду <b>туда</b> завтра.,📍,pron
avec,с; вместе с,Je travaille <b>avec</b> des collègues du monde entier.,Я работаю <b>с</b> коллегами со всего мира.,🤝,prep
