French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji,Source
avoir un coup de foudre,любовь с первого взгляда,expr,"Lorsqu'ils se sont rencontrés, ce fut un véritable <b>coup de foudre</b>.","Когда они встретились, это была настоящая <b>любовь с первого взгляда</b>.",Дословно: удар молнии. Также: внезапное увлечение чем-то.,⚡💕,idiomes
poser un lapin à qqn,не прийти на встречу,expr,"Il m'a <b>posé un lapin</b> hier soir, je l'ai attendu une heure !","Он <b>не пришёл на встречу</b> вчера вечером, я ждал его час!",Familier. Дословно: подложить кролика.,🐰❌,idiomes
avoir le cafard,быть в депрессии; хандрить,expr,"Depuis son départ pour le Québec, elle <b>a le cafard</b>.","С тех пор как он уехал в Квебек, она <b>хандрит</b>.",Дословно: иметь таракана. Синоним: être déprimé.,🪳😢,idiomes
faire la grasse matinée,поспать допоздна,expr,"Ce dimanche, je vais <b>faire la grasse matinée</b> jusqu'à midi.",В это воскресенье я <b>посплю допоздна</b> до полудня.,Дословно: делать жирное утро. Québec: aussi dormir tard.,😴🛏️,idiomes
passer une nuit blanche,не спать всю ночь,expr,J'ai <b>passé une nuit blanche</b> à préparer mon examen de français.,"Я <b>не спал всю ночь</b>, готовясь к экзамену по французскому.",Дословно: провести белую ночь.,🌙👀,idiomes
mettre son grain de sel,лезть с непрошеным мнением,expr,Il faut toujours qu'il <b>mette son grain de sel</b> dans les discussions !,Он всегда должен <b>лезть со своим мнением</b> в обсуждения!,Дословно: класть свою крупинку соли. Familier.,🧂💬,idiomes
tirer le diable par la queue,еле сводить концы с концами; перебиваться,expr,"Depuis qu'il a perdu son travail, ils <b>tirent le diable par la queue</b>.","С тех пор как он потерял работу, они <b>еле сводят концы с концами</b>.",Дословно: тянуть дьявола за хвост.,😈💸,idiomes
se mettre sur son 31,нарядиться; принарядиться,expr,"Pour le réveillon, tout le monde <b>s'est mis sur son 31</b>.",На Новый год все <b>принарядились</b>.,Дословно: одеться на свои 31. Origine: 31 décembre ou trentain (tissu de luxe).,👔✨,idiomes
jeter de l'huile sur le feu,подливать масла в огонь,expr,"En critiquant son travail devant tous, tu n'as fait que <b>jeter de l'huile sur le feu</b>.","Критикуя его работу перед всеми, ты только <b>подлил масла в огонь</b>.",Аналог русского выражения.,🛢️🔥,idiomes
couper la poire en deux,найти компромисс; пойти на уступки,expr,Ils ont décidé de <b>couper la poire en deux</b> et de partager les frais.,Они решили <b>найти компромисс</b> и разделить расходы.,Дословно: разрезать грушу пополам.,🍐✂️,idiomes
appeler un chat un chat,называть вещи своими именами,expr,Je vais <b>appeler un chat un chat</b> : ce projet est un échec.,Буду <b>называть вещи своими именами</b>: этот проект — провал.,Дословно: называть кота котом. Синоним: parler franchement.,🐱📢,idiomes
mettre la main à la pâte,взяться за дело; помочь,expr,"Si tout le monde <b>met la main à la pâte</b>, on finira avant ce soir.","Если все <b>возьмутся за дело</b>, мы закончим до вечера.",Дословно: положить руку в тесто.,🤲🥖,idiomes
manger sur le pouce,перекусить на ходу,expr,"Je n'ai pas le temps, je vais <b>manger sur le pouce</b> entre deux réunions.","У меня нет времени, я <b>перекушу на ходу</b> между встречами.",Дословно: есть на большом пальце.,🍔⏱️,idiomes
en faire tout un fromage,делать из мухи слона,expr,"Ce n'est qu'une petite erreur, il ne faut pas <b>en faire tout un fromage</b> !","Это всего лишь небольшая ошибка, не надо <b>делать из мухи слона</b>!",Дословно: делать из этого целый сыр.,🧀🐘,idiomes
avoir la gueule de bois,страдать похмельем,expr,"Après la fête, j'<b>ai la gueule de bois</b> ce matin.",После вечеринки у меня <b>похмелье</b> этим утром.,Familier. Дословно: иметь деревянную морду.,🍺🤕,idiomes
