French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
d'abord,сначала; во-первых,adv,"<b>D'abord</b>, je vais présenter le contexte.","<b>Сначала</b> я представлю контекст.","Connecteur de séquence. TEF Expression Écrite. Synonyme: tout d'abord, premièrement.",1️⃣
ensuite,затем; потом,adv,"<b>Ensuite</b>, nous analyserons les causes.","<b>Затем</b> мы проанализируем причины.","Connecteur de séquence. TEF. Synonyme: puis, après.",2️⃣
enfin,наконец; в конце концов,adv,"<b>Enfin</b>, nous proposerons des solutions.","<b>Наконец</b>, мы предложим решения.","Connecteur de séquence/conclusion. TEF. Synonyme: finalement.",🏁
puis,потом; затем,adv,"J'ai lu l'article, <b>puis</b> j'ai pris des notes.","Я прочитал статью, <b>затем</b> сделал заметки.","Connecteur de séquence. Plus neutre que ensuite.",➡️
de plus,кроме того; более того,adv,"<b>De plus</b>, cette solution est économique.","<b>Кроме того</b>, это решение экономичное.","Connecteur d'addition. TEF B2. Synonyme: en outre.",➕
en outre,кроме того; помимо этого,adv,"<b>En outre</b>, il faut considérer l'aspect environnemental.","<b>Кроме того</b>, нужно учитывать экологический аспект.","Connecteur d'addition. Formel. TEF B2.",➕
par ailleurs,с другой стороны; кроме того,adv,"<b>Par ailleurs</b>, d'autres études confirment ces résultats.","<b>Кроме того</b>, другие исследования подтверждают эти результаты.","Connecteur d'addition. Formel. TEF B2.",📎
également,также; тоже,adv,"Cette méthode est <b>également</b> utilisée en médecine.","Этот метод <b>также</b> используется в медицине.","Connecteur d'addition. Neutre.",🔄
aussi,также; тоже,adv,"Il parle français, <b>aussi</b> parle-t-il anglais.","Он говорит по-французски, <b>также</b> он говорит по-английски.","⚠️ En début de phrase: inversion sujet-verbe!",🔄
cependant,однако; тем не менее,adv,"Le projet est ambitieux ; <b>cependant</b>, il est réalisable.","Проект амбициозный; <b>однако</b> он реализуем.","Connecteur d'opposition. TEF B2. Très fréquent.",↔️
néanmoins,тем не менее; всё же,adv,"Il pleut ; <b>néanmoins</b>, je vais sortir.","Идёт дождь; <b>тем не менее</b>, я выйду.","Connecteur d'opposition. Formel. TEF B2.",↔️
toutefois,однако; впрочем,adv,"Cette idée est intéressante ; <b>toutefois</b>, elle pose des problèmes.","Эта идея интересная; <b>однако</b> она создаёт проблемы.","Connecteur d'opposition. Formel. TEF B2.",↔️
pourtant,однако; тем не менее,adv,"Il a étudié, <b>pourtant</b> il a échoué.","Он учился, <b>однако</b> провалился.","Connecteur d'opposition. Exprime la surprise.",❗↔️
en revanche,зато; напротив,adv,"Ce restaurant est cher ; <b>en revanche</b>, la qualité est excellente.","Этот ресторан дорогой; <b>зато</b> качество отличное.","Connecteur d'opposition. TEF B2. ⚠️ Pas pour négatif→positif: par contre.",↔️
par contre,зато; с другой стороны,adv,"Je n'aime pas le café ; <b>par contre</b>, j'adore le thé.","Я не люблю кофе; <b>зато</b> обожаю чай.","Connecteur d'opposition. Plus familier que en revanche.",↔️
au contraire,наоборот; напротив,adv,"Il n'est pas paresseux ; <b>au contraire</b>, il travaille énormément.","Он не ленивый; <b>наоборот</b>, он работает очень много.","Connecteur d'opposition forte.",🔀
alors que,тогда как; в то время как,conj,"Il dort <b>alors que</b> tout le monde travaille.","Он спит, <b>тогда как</b> все работают.","Connecteur d'opposition. + indicatif.",↔️
tandis que,тогда как; в то время как,conj,"Elle étudie <b>tandis que</b> son frère joue.","Она учится, <b>тогда как</b> её брат играет.","Connecteur d'opposition. + indicatif. Plus formel.",↔️
bien que,хотя; несмотря на то что,conj,"<b>Bien que</b> fatigué, il a continué.","<b>Хотя</b> он устал, он продолжил.","Connecteur de concession. ⚠️ + SUBJONCTIF!",🤔
quoique,хотя,conj,"<b>Quoique</b> jeune, elle est très mature.","<b>Хотя</b> она молода, она очень зрелая.","Connecteur de concession. + subjonctif. Synonyme: bien que.",🤔
malgré,несмотря на,prep,"<b>Malgré</b> la pluie, nous sommes sortis.","<b>Несмотря на</b> дождь, мы вышли.","Connecteur de concession. + NOM (pas de verbe!).",🌧️✊
en dépit de,несмотря на; вопреки,prep,"<b>En dépit de</b> ses efforts, il a échoué.","<b>Несмотря на</b> его усилия, он потерпел неудачу.","Connecteur de concession. Formel. + NOM.",🌧️✊
car,потому что; так как,conj,"Je reste, <b>car</b> j'ai du travail.","Я остаюсь, <b>потому что</b> у меня работа.","Connecteur de cause. Plus formel que parce que.",🔍
parce que,потому что,conj,"Je suis fatigué <b>parce que</b> j'ai mal dormi.","Я устал, <b>потому что</b> плохо спал.","Connecteur de cause. Le plus courant.",🔍
puisque,раз уж; поскольку,conj,"<b>Puisque</b> tu es là, aide-moi.","<b>Раз уж</b> ты здесь, помоги мне.","Connecteur de cause. Cause évidente/connue.",🔍
comme,так как; поскольку,conj,"<b>Comme</b> il pleuvait, je suis resté.","<b>Так как</b> шёл дождь, я остался.","Connecteur de cause. En début de phrase uniquement.",🔍
