French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
une demeure,жилище; резиденция,Une belle <b>demeure</b>.,Красивое <b>жилище</b>.,🏰,f
une tentative,попытка,C'est ma dernière <b>tentative</b>.,Это моя последняя <b>попытка</b>.,💪,f
pénible,тяжёлый; мучительный,C'est <b>pénible</b>.,Это <b>тяжело</b>.,😓,adj
un portefeuille,бумажник,J'ai perdu mon <b>portefeuille</b>.,Я потерял <b>бумажник</b>.,👛,m
"amer, amère",горький,Le café est <b>amer</b>.,Кофе <b>горький</b>.,☕,adj
un dur,крутой; жёсткий (субст.),Il joue les <b>durs</b>.,Он строит из себя <b>крутого</b>.,💪,m
"dit, dite",называемый; так называемый,La <b>dite</b> personne.,<b>Упомянутое</b> лицо.,📝,adj
un bouquin,книга (разг.),J'ai lu un bon <b>bouquin</b>.,Я прочитал хорошую <b>книжку</b>.,📚,m
un second,второй (субст.),Le <b>second</b> est arrivé.,<b>Второй</b> прибыл.,2️⃣,m
une disparition,исчезновение,La <b>disparition</b> d'un enfant.,<b>Исчезновение</b> ребёнка.,❓,f
apaiser,успокаивать,<b>Apaise</b>-toi.,<b>Успокойся</b>.,😌,v
une perspective,перспектива,C'est une belle <b>perspective</b>.,Это хорошая <b>перспектива</b>.,📈,f
paisible,мирный; спокойный,Un village <b>paisible</b>.,<b>Тихая</b> деревня.,🏡,adj
un oreiller,подушка,Pose ta tête sur l'<b>oreiller</b>.,Положи голову на <b>подушку</b>.,🛏️,m
un soupir,вздох,Il a poussé un <b>soupir</b>.,Он <b>вздохнул</b>.,😔,m
bouleverser,потрясать; опрокидывать,Ça m'a <b>bouleversé</b>.,Это меня <b>потрясло</b>.,😢,v
une médecine,медицина,Il étudie la <b>médecine</b>.,Он изучает <b>медицину</b>.,🏥,f
une communauté,община; сообщество,La <b>communauté</b> francophone.,<b>Франкоязычное</b> сообщество.,👥,f
"musical, musicale",музыкальный,Une comédie <b>musicale</b>.,<b>Мюзикл</b>.,🎵,adj
"grec, grecque",греческий,La cuisine <b>grecque</b>.,<b>Греческая</b> кухня.,🇬🇷,adj
une mémé,бабушка (разг.),Ma <b>mémé</b> fait de bons gâteaux.,Моя <b>бабуля</b> печёт вкусные пироги.,👵,f
modeste,скромный,C'est un homme <b>modeste</b>.,Это <b>скромный</b> человек.,😌,adj
une rigueur,строгость,Avec <b>rigueur</b> et discipline.,Со <b>строгостью</b> и дисциплиной.,📏,f
un mépris,презрение,Il montre du <b>mépris</b>.,Он выказывает <b>презрение</b>.,😤,m
"religieux, religieuse",религиозный,Une cérémonie <b>religieuse</b>.,<b>Религиозная</b> церемония.,⛪,adj
une tension,напряжение,La <b>tension</b> monte.,<b>Напряжение</b> растёт.,😬,f
une chaussette,носок,Mets tes <b>chaussettes</b>.,Надень <b>носки</b>.,🧦,f
une issue,выход; исход,Je cherche une <b>issue</b>.,Я ищу <b>выход</b>.,🚪,f
un permis,разрешение; права,J'ai mon <b>permis</b> de conduire.,У меня есть <b>права</b>.,🪪,m
contrer,противодействовать,<b>Contre</b> son attaque.,<b>Противодействуй</b> его атаке.,🛡️,v
bousculer,толкать,Ne <b>bouscule</b> personne.,Не <b>толкай</b> никого.,👐,v
projeter,проецировать; планировать,On <b>projette</b> un voyage.,Мы <b>планируем</b> поездку.,🗺️,v
une analyse,анализ,L'<b>analyse</b> des données.,<b>Анализ</b> данных.,📊,f
une étape,этап,C'est la première <b>étape</b>.,Это первый <b>этап</b>.,📍,f
dégueulasse,отвратительный (разг.),C'est <b>dégueulasse</b> !,Это <b>отвратительно</b>!,🤢,adj
honorer,почитать,J'<b>honore</b> ma promesse.,Я <b>чту</b> своё обещание.,🏅,v
un vase,ваза,Mets les fleurs dans le <b>vase</b>.,Поставь цветы в <b>вазу</b>.,🏺,m
une vase,ил; тина,Les pieds dans la <b>vase</b>.,Ноги в <b>иле</b>.,🌿,f
une écoute,прослушивание,Je suis à l'<b>écoute</b>.,Я <b>слушаю</b>.,👂,f
"un adjudant, une adjudante",адъютант; прапорщик,L'<b>adjudant</b> donne les ordres.,<b>Прапорщик</b> отдаёт приказы.,🎖️,m/f
procurer,доставать; обеспечивать,Je vais te <b>procurer</b> ça.,Я тебе это <b>достану</b>.,📦,v
un f,буква Ф,Le mot a un <b>f</b> double.,В слове двойная <b>ф</b>.,🔤,m
une ambition,амбиция,Il a de l'<b>ambition</b>.,У него есть <b>амбиции</b>.,🎯,f
un équipage,экипаж,L'<b>équipage</b> du navire.,<b>Экипаж</b> корабля.,⚓,m
une chapelle,часовня,La <b>chapelle</b> du village.,<b>Часовня</b> деревни.,⛪,f
aspirer,стремиться; вдыхать,J'<b>aspire</b> à la liberté.,Я <b>стремлюсь</b> к свободе.,✨,v
séduire,соблазнять; очаровывать,Elle sait <b>séduire</b>.,Она умеет <b>очаровывать</b>.,💫,v
un crayon,карандаш,Prends ton <b>crayon</b>.,Возьми <b>карандаш</b>.,✏️,m
catholique,католический,Une église <b>catholique</b>.,<b>Католическая</b> церковь.,✝️,adj
adorable,очаровательный,Elle est <b>adorable</b>.,Она <b>очаровательна</b>.,🥰,adj
un soupçon,подозрение,J'ai un <b>soupçon</b>.,У меня есть <b>подозрение</b>.,🤔,m
une pilule,таблетка,Prends cette <b>pilule</b>.,Выпей эту <b>таблетку</b>.,💊,f
cuisiner,готовить,J'aime <b>cuisiner</b>.,Я люблю <b>готовить</b>.,👨‍🍳,v
une fac,универ (разг.),Je suis à la <b>fac</b>.,Я в <b>универе</b>.,🎓,f
un liquide,жидкость,C'est un <b>liquide</b> clair.,Это прозрачная <b>жидкость</b>.,💧,m
une plaie,рана,La <b>plaie</b> guérit.,<b>Рана</b> заживает.,🩹,f
une possession,владение,C'est en ma <b>possession</b>.,Это в моём <b>владении</b>.,📜,f
solitaire,одинокий,Il vit en <b>solitaire</b>.,Он живёт <b>одиноко</b>.,🏚️,adj
"final, finale",финальный,La décision <b>finale</b>.,<b>Финальное</b> решение.,🏁,adj
une capitale,столица,Paris est la <b>capitale</b>.,Париж — <b>столица</b>.,🏛️,f
une laine,шерсть,Un pull en <b>laine</b>.,Свитер из <b>шерсти</b>.,🧶,f
recommander,рекомендовать,Je te <b>recommande</b> ce film.,<b>Рекомендую</b> тебе этот фильм.,👍,v
distribuer,раздавать,<b>Distribue</b> les cartes.,<b>Раздай</b> карты.,🃏,v
une bonté,доброта,Merci pour ta <b>bonté</b>.,Спасибо за твою <b>доброту</b>.,❤️,f
un dé,игральная кость,Lance le <b>dé</b>.,Брось <b>кость</b>.,🎲,m
une noce,свадьба,Les invités de la <b>noce</b>.,Гости <b>свадьбы</b>.,💒,f
cueillir,собирать (плоды),<b>Cueille</b> des pommes.,<b>Собери</b> яблоки.,🍎,v
un tube,труба; хит (песня),C'est un <b>tube</b> de l'été.,Это <b>хит</b> лета.,🎵,m
réchauffer,разогревать,<b>Réchauffe</b> le repas.,<b>Разогрей</b> еду.,🍲,v
un poumon,лёгкое,Il a mal aux <b>poumons</b>.,У него болят <b>лёгкие</b>.,🫁,m
une administration,администрация,L'<b>administration</b> de la ville.,<b>Администрация</b> города.,🏢,f
un essentiel,главное,C'est l'<b>essentiel</b>.,Это <b>главное</b>.,⭐,m
un profit,прибыль,Faire du <b>profit</b>.,Получить <b>прибыль</b>.,💰,m
garantir,гарантировать,Je te <b>garantis</b> ça.,Я тебе это <b>гарантирую</b>.,✅,v
une trahison,предательство,C'est une <b>trahison</b>.,Это <b>предательство</b>.,🗡️,f
plaquer,бросать; прижимать,Elle l'a <b>plaqué</b>.,Она его <b>бросила</b>.,💔,v
"extérieur, extérieure",внешний,Le monde <b>extérieur</b>.,<b>Внешний</b> мир.,🌍,adj
réciter,декламировать,<b>Récite</b> le poème.,<b>Продекламируй</b> стихотворение.,📜,v
un labo,лаборатория (разг.),Je travaille au <b>labo</b>.,Я работаю в <b>лабе</b>.,🔬,m
célébrer,праздновать,On va <b>célébrer</b> ton anniversaire.,Мы будем <b>праздновать</b> твой день рождения.,🎉,v
un enthousiasme,энтузиазм,Avec beaucoup d'<b>enthousiasme</b>.,С большим <b>энтузиазмом</b>.,🔥,m
novembre,ноябрь,"En <b>novembre</b>, il fait froid.",В <b>ноябре</b> холодно.,🍂,m
un hippo,бегемот (разг.),L'<b>hippo</b> est dans l'eau.,<b>Бегемот</b> в воде.,🦛,m
un légume,овощ,Mange tes <b>légumes</b>.,Ешь <b>овощи</b>.,🥦,m
une respiration,дыхание,Contrôle ta <b>respiration</b>.,Контролируй <b>дыхание</b>.,🌬️,f
une assemblée,собрание,L'<b>assemblée</b> générale.,<b>Общее собрание</b>.,👥,f
mars,март,"En <b>mars</b>, c'est le printemps.",В <b>марте</b> — весна.,🌸,m
un divorce,развод,Ils demandent le <b>divorce</b>.,Они требуют <b>развод</b>.,💔,m
un maréchal,маршал,Le <b>maréchal</b> commande l'armée.,<b>Маршал</b> командует армией.,⭐,m
ronger,грызть,Le chien <b>ronge</b> l'os.,Собака <b>грызёт</b> кость.,🦴,v
imbécile,идиотский; идиот,Quel <b>imbécile</b> !,Какой <b>идиот</b>!,🙄,adj
suprême,высший,Le pouvoir <b>suprême</b>.,<b>Высшая</b> власть.,👑,adj
un mélange,смесь,C'est un <b>mélange</b> de tout.,Это <b>смесь</b> всего.,🎨,m
une mèche,прядь; фитиль,Une <b>mèche</b> de cheveux.,<b>Прядь</b> волос.,💇,f
une pension,пансион; пенсия,Il touche sa <b>pension</b>.,Он получает <b>пенсию</b>.,💵,f
redescendre,спускаться обратно,Je vais <b>redescendre</b>.,Я <b>спущусь</b> обратно.,⬇️,v
enchanter,очаровывать,<b>Enchanté</b> de vous connaître.,<b>Рад</b> познакомиться.,🤝,v
un cap,мыс; курс,Maintiens le <b>cap</b>.,Держи <b>курс</b>.,🧭,m
doubler,удваивать; обгонять,<b>Double</b> pas ici.,Не <b>обгоняй</b> здесь.,🚗,v
concierge,консьерж,Le <b>concierge</b> de l'immeuble.,<b>Консьерж</b> здания.,🔑,m
une reprise,возобновление,La <b>reprise</b> du travail.,<b>Возобновление</b> работы.,🔄,f
"attentif, attentive",внимательный,Sois <b>attentif</b> en classe.,Будь <b>внимательным</b> на уроке.,👀,adj
touriste,турист,Les <b>touristes</b> visitent la ville.,<b>Туристы</b> осматривают город.,📸,m
"blessé, blessée",раненый,Il est <b>blessé</b>.,Он <b>ранен</b>.,🩹,adj
nocturne,ночной,La vie <b>nocturne</b>.,<b>Ночная</b> жизнь.,🌙,adj
une fureur,ярость,Il est en <b>fureur</b>.,Он в <b>ярости</b>.,😤,f
une hanche,бедро,J'ai mal à la <b>hanche</b>.,У меня болит <b>бедро</b>.,🦵,f
une jalousie,ревность,La <b>jalousie</b> le consume.,<b>Ревность</b> его поедает.,💚,f
un job,работа (разг.),J'ai trouvé un <b>job</b>.,Я нашёл <b>работу</b>.,💼,m
un panneau,панель; табличка,Lis le <b>panneau</b>.,Прочти <b>табличку</b>.,🪧,m
une bite,член (груб.),C'est une grosse <b>bite</b>. (vulgaire),Это большой <b>член</b>. (груб.),🤬,f
une reconnaissance,признательность,Avec toute ma <b>reconnaissance</b>.,С моей <b>признательностью</b>.,🙏,f
un bonhomme,человечек; мужик,Un <b>bonhomme</b> de neige.,<b>Снеговик</b>.,⛄,m
une invitation,приглашение,J'ai reçu une <b>invitation</b>.,Я получил <b>приглашение</b>.,💌,f
effondrer,обрушиваться,Le toit s'est <b>effondré</b>.,Крыша <b>обрушилась</b>.,🏚️,v
boucher,затыкать; закупоривать,<b>Bouche</b> le trou.,<b>Заткни</b> дыру.,🔌,v
un renfort,подкрепление,Les <b>renforts</b> arrivent.,<b>Подкрепление</b> прибывает.,🚔,m
relâcher,отпускать,<b>Relâche</b> le prisonnier.,<b>Отпусти</b> заключённого.,🔓,v
un ouvrage,труд; произведение,C'est un bel <b>ouvrage</b>.,Это прекрасный <b>труд</b>.,📚,m
un oignon,лук,Coupe l'<b>oignon</b>.,Порежь <b>лук</b>.,🧅,m
abîmer,портить,Ne l'<b>abîme</b> pas.,Не <b>порти</b> это.,😬,v
un riz,рис,Un bol de <b>riz</b>.,Миска <b>риса</b>.,🍚,m
pratiquer,практиковать,Je <b>pratique</b> le yoga.,Я <b>практикую</b> йогу.,🧘,v
un char,танк; машина (кан.),Le <b>char</b> avance.,<b>Танк</b> наступает.,🪖,m
un otage,заложник,Ils ont pris des <b>otages</b>.,Они взяли <b>заложников</b>.,⛓️,m
un tronc,ствол,Le <b>tronc</b> de l'arbre.,<b>Ствол</b> дерева.,🌳,m
"suffisant, suffisante",достаточный,C'est <b>suffisant</b>.,Этого <b>достаточно</b>.,✅,adj
procéder,действовать; приступать,Comment <b>procéder</b> ?,Как <b>действовать</b>?,🤔,v
une personnalité,личность,Une forte <b>personnalité</b>.,Сильная <b>личность</b>.,💪,f
un sentier,тропа,Le <b>sentier</b> forestier.,Лесная <b>тропа</b>.,🥾,m
étirer,растягивать,<b>Étire</b>-toi avant le sport.,<b>Потянись</b> перед спортом.,🤸,v
une impatience,нетерпение,Avec <b>impatience</b>.,С <b>нетерпением</b>.,⏳,f
dégoûter,вызывать отвращение,Ça me <b>dégoûte</b>.,Меня это <b>отвращает</b>.,🤢,v
un abruti,дурак; придурок,Quel <b>abruti</b> !,Какой <b>дурак</b>!,🙄,m
une araignée,паук,J'ai peur des <b>araignées</b>.,Я боюсь <b>пауков</b>.,🕷️,f
une plaine,равнина,La <b>plaine</b> s'étend.,<b>Равнина</b> простирается.,🌾,f
"exceptionnel, exceptionnelle",исключительный,Une occasion <b>exceptionnelle</b>.,<b>Исключительный</b> случай.,⭐,adj
un gré,воля,De bon <b>gré</b>.,По доброй <b>воле</b>.,👍,m
préoccuper,беспокоить,Ça me <b>préoccupe</b>.,Это меня <b>беспокоит</b>.,😟,v
un demi-tour,разворот,Fais <b>demi-tour</b>.,Сделай <b>разворот</b>.,↩️,m
un trouble,расстройство,Un <b>trouble</b> mental.,Психическое <b>расстройство</b>.,🧠,m
mercredi,среда,On se voit <b>mercredi</b>.,Увидимся в <b>среду</b>.,📅,m
interminable,бесконечный,Une attente <b>interminable</b>.,<b>Бесконечное</b> ожидание.,♾️,adj
un fumier,навоз; подонок (разг.),Quel <b>fumier</b> !,Какой <b>подонок</b>!,😠,m
monseigneur,монсеньор; ваше высочество,<b>Monseigneur</b> est servi.,"<b>Ваше высочество</b>, подано.",👑,m
un cher,дорогой,<b>Cher</b> ami !,<b>Дорогой</b> друг!,💕,m
une apparition,появление,L'<b>apparition</b> d'un fantôme.,<b>Появление</b> призрака.,👻,f
fourrer,засовывать,<b>Fourre</b> ça dans ton sac.,<b>Засунь</b> это в сумку.,🎒,v
tâcher,стараться,<b>Tâche</b> de réussir.,<b>Постарайся</b> справиться.,💪,v
isoler,изолировать,<b>Isole</b> le malade.,<b>Изолируй</b> больного.,🏠,v
un deuil,траур,Il est en <b>deuil</b>.,Он в <b>трауре</b>.,🖤,m
gérer,управлять,Je <b>gère</b> l'entreprise.,Я <b>управляю</b> компанией.,📊,v
un cuivre,медь,Une casserole en <b>cuivre</b>.,Кастрюля из <b>меди</b>.,🥘,m
une bible,библия,La Sainte <b>Bible</b>.,Святая <b>Библия</b>.,📖,f
un épisode,эпизод,Le dernier <b>épisode</b>.,Последний <b>эпизод</b>.,📺,m
une tomate,помидор,Une salade de <b>tomates</b>.,Салат из <b>помидоров</b>.,🍅,f
une influence,влияние,Il a beaucoup d'<b>influence</b>.,У него большое <b>влияние</b>.,📈,f
empoisonner,отравлять,Il a été <b>empoisonné</b>.,Его <b>отравили</b>.,☠️,v
classique,классический,La musique <b>classique</b>.,<b>Классическая</b> музыка.,🎻,adj
mélanger,смешивать,<b>Mélange</b> bien.,Хорошо <b>перемешай</b>.,🥣,v
une allumette,спичка,Une boîte d'<b>allumettes</b>.,Коробок <b>спичек</b>.,🔥,f
un double,двойник; дубль,C'est son <b>double</b>.,Это его <b>двойник</b>.,👥,m
abuser,злоупотреблять,N'<b>abuse</b> pas de ma patience.,Не <b>злоупотребляй</b> моим терпением.,⚠️,v
un dialogue,диалог,Un <b>dialogue</b> ouvert.,Открытый <b>диалог</b>.,💬,m
une vitrine,витрина,Regarde la <b>vitrine</b>.,Посмотри на <b>витрину</b>.,🏬,f
lécher,лизать,Le chien <b>lèche</b> sa main.,Собака <b>лижет</b> его руку.,🐕,v
recueillir,собирать; приютить,Je l'ai <b>recueilli</b>.,Я его <b>приютил</b>.,🏠,v
quant,касательно (+ à),"<b>Quant</b> à moi, je refuse.","<b>Что касается</b> меня, я отказываюсь.",📌,f
un collège,колледж; средняя школа,Il est au <b>collège</b>.,Он учится в <b>колледже</b>.,🏫,m
