French,Russian,ExampleFrench,ExampleRussian,Emoji
terrestre,земной,"La vie <b>terrestre</b>.","<b>Земная</b> жизнь.",🌍
"crétin, crétine",кретин,"Quel <b>crétin</b> !","Какой <b>кретин</b>!",😤
une résidence,резиденция,"Une <b>résidence</b> secondaire.","Загородная <b>резиденция</b>.",🏠
critiquer,критиковать,"<b>Critiquer</b> le gouvernement.","<b>Критиковать</b> правительство.",🗣️
"fascinant, fascinante",захватывающий,"Une histoire <b>fascinante</b>.","<b>Захватывающая</b> история.",✨
un culte,культ,"Le <b>culte</b> de la personnalité.","<b>Культ</b> личности.",🙏
officiellement,официально,"<b>Officiellement</b> annoncé.","<b>Официально</b> объявлено.",📢
aboyer,лаять,"Le chien <b>aboie</b>.","Собака <b>лает</b>.",🐕
une fourchette,вилка,"Manger avec une <b>fourchette</b>.","Есть <b>вилкой</b>.",🍴
une immobilité,неподвижность,"Une <b>immobilité</b> totale.","Полная <b>неподвижность</b>.",🧘
"impuissant, impuissante",бессильный,"Je suis <b>impuissant</b>.","Я <b>бессилен</b>.",😔
émerveiller,восхищать,"Le spectacle m'<b>émerveille</b>.","Зрелище меня <b>восхищает</b>.",🤩
emménager,въезжать,"<b>Emménager</b> dans un appartement.","<b>Въехать</b> в квартиру.",🏠
un intellectuel,интеллектуал,"Un grand <b>intellectuel</b>.","Большой <b>интеллектуал</b>.",🎓
une référence,ссылка; эталон,"Une <b>référence</b> bibliographique.","Библиографическая <b>ссылка</b>.",📚
un pacha,паша,"Vivre comme un <b>pacha</b>.","Жить как <b>паша</b>.",👑
un barman,бармен,"Le <b>barman</b> prépare un cocktail.","<b>Бармен</b> готовит коктейль.",🍸
"artificiel, artificielle",искусственный,"Un lac <b>artificiel</b>.","<b>Искусственное</b> озеро.",🏞️
une cuillère,ложка,"Une <b>cuillère</b> à soupe.","Столовая <b>ложка</b>.",🥄
gésir,лежать (мёртвым),"Il <b>gît</b> sur le sol.","Он <b>лежит</b> на полу.",🪦
"terrifiant, terrifiante",ужасающий,"Un monstre <b>terrifiant</b>.","<b>Ужасающий</b> монстр.",😱
survenir,случаться,"Un accident peut <b>survenir</b>.","Авария может <b>случиться</b>.",⚠️
"volant, volante",летающий,"Un objet <b>volant</b>.","<b>Летающий</b> объект.",🛸
honnêtement,честно,"<b>Honnêtement</b>, je ne sais pas.","<b>Честно</b>, я не знаю.",🤷
une steppe,степь,"La <b>steppe</b> russe.","Русская <b>степь</b>.",🌾
un bouc,козёл,"Un <b>bouc</b> émissaire.","<b>Козёл</b> отпущения.",🐐
un commerçant,торговец,"Le <b>commerçant</b> du quartier.","<b>Торговец</b> из квартала.",🏪
une méfiance,недоверие,"Avec <b>méfiance</b>.","С <b>недоверием</b>.",🤨
"universel, universelle",универсальный,"Une vérité <b>universelle</b>.","<b>Универсальная</b> истина.",🌐
démontrer,доказывать,"<b>Démontrer</b> un théorème.","<b>Доказать</b> теорему.",📐
"perpétuel, perpétuelle",вечный,"Un mouvement <b>perpétuel</b>.","<b>Вечное</b> движение.",♾️
déchaîner,разнуздывать,"<b>Déchaîner</b> les passions.","<b>Разжечь</b> страсти.",🔥
un fragment,фрагмент,"Un <b>fragment</b> de texte.","<b>Фрагмент</b> текста.",📄
une notion,понятие,"Une <b>notion</b> de base.","Базовое <b>понятие</b>.",💡
décourager,обескураживать,"Ne te <b>décourage</b> pas.","Не <b>отчаивайся</b>.",💪
"excessif, excessive",чрезмерный,"Une chaleur <b>excessive</b>.","<b>Чрезмерная</b> жара.",🌡️
"veuf, veuve",вдовый,"Il est <b>veuf</b>.","Он <b>вдовец</b>.",💔
une gifle,пощёчина,"Donner une <b>gifle</b>.","Дать <b>пощёчину</b>.",✋
une installation,установка,"Une <b>installation</b> artistique.","Художественная <b>инсталляция</b>.",🎨
un rebord,край,"Le <b>rebord</b> de la fenêtre.","<b>Подоконник</b>.",🪟
un boss,босс,"Le <b>boss</b> arrive.","<b>Босс</b> приходит.",👔
consommer,потреблять,"<b>Consommer</b> de l'énergie.","<b>Потреблять</b> энергию.",⚡
une catégorie,категория,"Une <b>catégorie</b> professionnelle.","Профессиональная <b>категория</b>.",📊
"éclairé, éclairée",освещённый,"Une rue bien <b>éclairée</b>.","Хорошо <b>освещённая</b> улица.",💡
escalader,карабкаться,"<b>Escalader</b> une montagne.","<b>Взбираться</b> на гору.",🧗
"fédéral, fédérale",федеральный,"Le gouvernement <b>fédéral</b>.","<b>Федеральное</b> правительство.",🏛️
une archive,архив,"Consulter les <b>archives</b>.","Обратиться к <b>архивам</b>.",🗄️
une balance,весы,"Peser sur la <b>balance</b>.","Взвесить на <b>весах</b>.",⚖️
"gracieux, gracieuse",грациозный,"Une danseuse <b>gracieuse</b>.","<b>Грациозная</b> танцовщица.",🩰
une biche,лань,"Une <b>biche</b> dans la forêt.","<b>Лань</b> в лесу.",🦌
un porteur,носильщик,"Le <b>porteur</b> de bagages.","<b>Носильщик</b> багажа.",🧳
une courbe,кривая,"Une <b>courbe</b> ascendante.","Восходящая <b>кривая</b>.",📈
bousiller,ломать (разг.),"<b>Bousiller</b> la voiture.","<b>Угробить</b> машину.",🚗
une cavalerie,кавалерия,"La <b>cavalerie</b> charge.","<b>Кавалерия</b> атакует.",🐎
un reçu,квитанция,"Demander un <b>reçu</b>.","Попросить <b>квитанцию</b>.",🧾
un messager,посыльный,"Le <b>messager</b> arrive.","<b>Посыльный</b> прибыл.",📨
