French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
à l'époque,в то время; тогда,adv,"<b>À l'époque</b>, je vivais à Paris.","<b>В то время</b> я жил в Париже.","Référence au passé.",📅
autrefois,раньше; в прежние времена,adv,"<b>Autrefois</b>, les gens voyageaient moins.","<b>Раньше</b> люди путешествовали меньше.","Passé lointain. Formel.",🏛️
jadis,некогда; встарь,adv,"<b>Jadis</b>, ce château était habité.","<b>Некогда</b> этот замок был обитаем.","Passé très lointain. Littéraire.",🏰
auparavant,ранее; прежде,adv,"<b>Auparavant</b>, il travaillait dans une banque.","<b>Ранее</b> он работал в банке.","Avant un moment passé. Formel.",⏪
il y a,назад (о времени),prep,"J'ai déménagé <b>il y a</b> trois ans.","Я переехал <b>три года назад</b>.","⚠️ Il y a + durée = ago.",⏱️
depuis,с; в течение,prep,"Je vis ici <b>depuis</b> 2020.","Я живу здесь <b>с</b> 2020 года.","Durée jusqu'au présent. + présent en français!",⏳
pendant,в течение; во время,prep,"<b>Pendant</b> les vacances, j'ai voyagé.","<b>Во время</b> каникул я путешествовал.","Durée limitée dans le passé.",📅
durant,в течение; во время,prep,"<b>Durant</b> son séjour, il a visité plusieurs musées.","<b>В течение</b> пребывания он посетил несколько музеев.","Synonyme formel de pendant.",📅
au cours de,в ходе; в течение,prep,"<b>Au cours de</b> cette réunion, plusieurs décisions ont été prises.","<b>В ходе</b> этого собрания было принято несколько решений.","Formel. TEF B2.",📊
de nos jours,в наши дни; сегодня,adv,"<b>De nos jours</b>, tout le monde a un smartphone.","<b>В наши дни</b> у всех есть смартфон.","Présent général. TEF B2.",📱
actuellement,в настоящее время; сейчас,adv,"<b>Actuellement</b>, je cherche un emploi.","<b>В настоящее время</b> я ищу работу.","⚠️ Faux ami! ≠ actually (en fait).",📍
en ce moment,сейчас; в данный момент,adv,"<b>En ce moment</b>, je suis très occupé.","<b>Сейчас</b> я очень занят.","Présent ponctuel.",📍
à présent,сейчас; теперь,adv,"<b>À présent</b>, passons au deuxième point.","<b>Теперь</b> перейдём ко второму пункту.","Présent. Formel.",📍
désormais,отныне; впредь,adv,"<b>Désormais</b>, les réunions auront lieu le lundi.","<b>Отныне</b> собрания будут по понедельникам.","À partir de maintenant. Formel. TEF B2.",➡️
dorénavant,впредь; отныне,adv,"<b>Dorénavant</b>, je ferai plus attention.","<b>Впредь</b> я буду внимательнее.","Synonyme de désormais. Très formel.",➡️
à l'avenir,в будущем; впредь,adv,"<b>À l'avenir</b>, évitez ce genre d'erreurs.","<b>В будущем</b> избегайте таких ошибок.","Futur. Conseil/avertissement.",🔮
prochainement,в ближайшее время; скоро,adv,"Le nouveau magasin ouvrira <b>prochainement</b>.","Новый магазин откроется <b>в ближайшее время</b>.","Futur proche.",📅
bientôt,скоро; вскоре,adv,"Je reviendrai <b>bientôt</b>.","Я <b>скоро</b> вернусь.","Futur proche. Courant.",⏳
à la longue,со временем; в конечном счёте,adv,"<b>À la longue</b>, tu t'y habitueras.","<b>Со временем</b> ты привыкнешь.","Après une longue période.",⏳
au fur et à mesure,по мере; постепенно,adv,"J'apprends <b>au fur et à mesure</b>.","Я учусь <b>постепенно</b>.","Progression graduelle. TEF B2.",📈
peu à peu,мало-помалу; постепенно,adv,"<b>Peu à peu</b>, la situation s'améliore.","<b>Мало-помалу</b> ситуация улучшается.","Progression graduelle.",📈
progressivement,постепенно,adv,"Les températures augmentent <b>progressivement</b>.","Температура <b>постепенно</b> повышается.","Progression graduelle. Formel.",📈
tout à coup,вдруг; внезапно,adv,"<b>Tout à coup</b>, il a commencé à pleuvoir.","<b>Вдруг</b> начался дождь.","Soudaineté.",⚡
soudain,вдруг; внезапно,adv,"<b>Soudain</b>, la lumière s'est éteinte.","<b>Вдруг</b> свет погас.","Synonyme de tout à coup.",⚡
aussitôt,тотчас; сразу же,adv,"Il est parti et <b>aussitôt</b> je l'ai suivi.","Он ушёл, и я <b>тотчас</b> последовал за ним.","Immédiatement après.",⚡
immédiatement,немедленно; сразу,adv,"Appelez-moi <b>immédiatement</b> !","Позвоните мне <b>немедленно</b>!","Urgence.",🚨
sur-le-champ,немедленно; тут же,adv,"Il a été renvoyé <b>sur-le-champ</b>.","Его уволили <b>на месте</b>.","Immédiatement. Formel.",⚡
d'ici,к (времени); до,prep,"<b>D'ici</b> la fin de la semaine, tout sera prêt.","<b>К</b> концу недели всё будет готово.","Délai limite.",📅
d'ici peu,вскоре; в скором времени,adv,"<b>D'ici peu</b>, les travaux seront terminés.","<b>Вскоре</b> работы будут завершены.","Futur proche.",⏳
en attendant,тем временем; пока,adv,"<b>En attendant</b>, prenez un café.","<b>Пока</b> выпейте кофе.","Pendant ce temps.",☕
entre-temps,тем временем; между тем,adv,"<b>Entre-temps</b>, j'ai changé d'avis.","<b>Тем временем</b> я передумал.","Pendant cette période.",⏳
à partir de,начиная с,prep,"<b>À partir de</b> lundi, je serai en vacances.","<b>Начиная с</b> понедельника я буду в отпуске.","Point de départ temporel.",📅
jusqu'à,до,prep,"Je travaille <b>jusqu'à</b> 18h.","Я работаю <b>до</b> 18:00.","Point final temporel.",📅
avant,до; перед,prep,"<b>Avant</b> de partir, vérifie tout.","<b>Перед</b> уходом проверь всё.","Antériorité.",⏪
après,после,prep,"<b>Après</b> le dîner, on regardera un film.","<b>После</b> ужина посмотрим фильм.","Postériorité.",⏩
lors de,во время; при,prep,"<b>Lors de</b> mon voyage, j'ai rencontré des gens incroyables.","<b>Во время</b> путешествия я встретил удивительных людей.","Moment précis. Formel. TEF B2.",📅
dès que,как только,conj,"<b>Dès que</b> possible, envoyez-moi le rapport.","<b>Как только</b> возможно, пришлите мне отчёт.","Immédiatement après. + indicatif (futur en français!).",⚡
aussitôt que,как только,conj,"<b>Aussitôt que</b> tu arrives, appelle-moi.","<b>Как только</b> приедешь, позвони.","Synonyme de dès que.",⚡
une fois que,как только; после того как,conj,"<b>Une fois que</b> tu auras fini, on pourra partir.","<b>После того как</b> закончишь, сможем уйти.","Après completion.",✅
