French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
à mon avis,по моему мнению,expr,"<b>À mon avis</b>, cette solution est la meilleure.","<b>По моему мнению</b>, это решение лучшее.","Expression d'opinion. TEF Expression Orale. Très courant.",💭
selon moi,по-моему; на мой взгляд,expr,"<b>Selon moi</b>, il faudrait agir vite.","<b>По-моему</b>, нужно действовать быстро.","Expression d'opinion. Synonyme: à mon avis.",💭
d'après moi,по-моему; на мой взгляд,expr,"<b>D'après moi</b>, c'est une erreur.","<b>По-моему</b>, это ошибка.","Expression d'opinion.",💭
pour ma part,что касается меня; со своей стороны,expr,"<b>Pour ma part</b>, je préfère rester neutre.","<b>Что касается меня</b>, я предпочитаю оставаться нейтральным.","Expression d'opinion. Formel.",💭
en ce qui me concerne,что касается меня,expr,"<b>En ce qui me concerne</b>, je suis d'accord.","<b>Что касается меня</b>, я согласен.","Expression d'opinion. Formel. TEF B2.",💭
personnellement,лично; по-моему,adv,"<b>Personnellement</b>, je trouve ce film ennuyeux.","<b>Лично</b> я нахожу этот фильм скучным.","Expression d'opinion.",💭
il me semble que,мне кажется что,expr,"<b>Il me semble que</b> tu as raison.","<b>Мне кажется, что</b> ты прав.","Opinion nuancée. + indicatif.",🤔
je trouve que,я нахожу что; считаю что,expr,"<b>Je trouve que</b> c'est une bonne idée.","<b>Я считаю, что</b> это хорошая идея.","Opinion. + indicatif.",✅
je pense que,я думаю что,expr,"<b>Je pense que</b> nous devrions partir.","<b>Я думаю, что</b> нам стоит уйти.","Opinion. + indicatif. ⚠️ Négation + subjonctif.",💭
je crois que,я считаю что; полагаю,expr,"<b>Je crois que</b> c'est possible.","<b>Полагаю, что</b> это возможно.","Opinion. + indicatif. ⚠️ Négation + subjonctif.",💭
j'estime que,я считаю что; полагаю,expr,"<b>J'estime que</b> cette décision est juste.","<b>Я считаю, что</b> это решение справедливое.","Opinion. Formel. + indicatif.",📊
je considère que,я считаю что,expr,"<b>Je considère que</b> ce problème est prioritaire.","<b>Я считаю, что</b> эта проблема приоритетная.","Opinion. Formel.",📊
je suis convaincu que,я убеждён что,expr,"<b>Je suis convaincu que</b> nous réussirons.","<b>Я убеждён, что</b> мы преуспеем.","Opinion forte. + indicatif.",💪
je suis persuadé que,я уверен что,expr,"<b>Je suis persuadé que</b> c'est la bonne solution.","<b>Я уверен, что</b> это правильное решение.","Opinion forte. + indicatif.",💪
j'ai l'impression que,у меня впечатление что,expr,"<b>J'ai l'impression que</b> quelque chose ne va pas.","<b>У меня впечатление, что</b> что-то не так.","Opinion nuancée. + indicatif.",🤔
il est évident que,очевидно что,expr,"<b>Il est évident que</b> ce projet est ambitieux.","<b>Очевидно, что</b> этот проект амбициозный.","Certitude. + indicatif.",💯
il est clair que,ясно что,expr,"<b>Il est clair que</b> nous avons un problème.","<b>Ясно, что</b> у нас проблема.","Certitude. + indicatif.",💯
il est certain que,несомненно что; точно,expr,"<b>Il est certain que</b> les prix vont augmenter.","<b>Несомненно</b>, цены вырастут.","Certitude. + indicatif.",💯
je suis d'accord,я согласен,expr,"<b>Je suis d'accord</b> avec toi sur ce point.","<b>Я согласен</b> с тобой в этом.","Accord. Très courant.",✅
je suis tout à fait d'accord,я полностью согласен,expr,"<b>Je suis tout à fait d'accord</b> avec cette analyse.","<b>Я полностью согласен</b> с этим анализом.","Accord total.",✅✅
je ne suis pas d'accord,я не согласен,expr,"<b>Je ne suis pas d'accord</b> avec cette décision.","<b>Я не согласен</b> с этим решением.","Désaccord.",❌
je partage ton avis,я разделяю твоё мнение,expr,"<b>Je partage ton avis</b> sur cette question.","<b>Я разделяю твоё мнение</b> по этому вопросу.","Accord. Formel.",🤝
je suis de ton avis,я с тобой согласен,expr,"<b>Je suis de ton avis</b>, il faut agir.","<b>Я с тобой согласен</b>, нужно действовать.","Accord.",🤝
je doute que,я сомневаюсь что,expr,"<b>Je doute que</b> ce soit possible.","<b>Я сомневаюсь, что</b> это возможно.","Doute. ⚠️ + SUBJONCTIF!",🤨
je ne pense pas que,я не думаю что,expr,"<b>Je ne pense pas que</b> ce soit une bonne idée.","<b>Я не думаю, что</b> это хорошая идея.","Désaccord/doute. ⚠️ + SUBJONCTIF!",🤔
je ne crois pas que,я не считаю что,expr,"<b>Je ne crois pas que</b> tu aies raison.","<b>Я не считаю, что</b> ты прав.","Désaccord/doute. ⚠️ + SUBJONCTIF!",🤔
il est possible que,возможно что,expr,"<b>Il est possible que</b> je sois en retard.","<b>Возможно</b>, я опоздаю.","Possibilité. + subjonctif.",🤷
il est probable que,вероятно что,expr,"<b>Il est probable que</b> le projet sera approuvé.","<b>Вероятно</b>, проект будет одобрен.","Probabilité. + indicatif (haute probabilité).",📈
peut-être que,может быть,expr,"<b>Peut-être que</b> tu as raison.","<b>Может быть</b>, ты прав.","Possibilité. + indicatif. Oral.",🤷
sans doute,вероятно; наверное,adv,"Il viendra <b>sans doute</b> demain.","Он <b>наверное</b> придёт завтра.","⚠️ = probablement, PAS certainement!",📊
certes... mais,конечно... но,expr,"<b>Certes</b>, c'est cher, <b>mais</b> la qualité est excellente.","<b>Конечно</b>, это дорого, <b>но</b> качество отличное.","Concession argumentative. TEF B2.",↔️
il faut reconnaître que,надо признать что,expr,"<b>Il faut reconnaître que</b> son travail est remarquable.","<b>Надо признать, что</b> его работа выдающаяся.","Concession. Formel.",🎖️
force est de constater que,приходится констатировать что,expr,"<b>Force est de constater que</b> les résultats sont décevants.","<b>Приходится констатировать, что</b> результаты разочаровывают.","Très formel. Écrit.",📊
on ne peut nier que,нельзя отрицать что,expr,"<b>On ne peut nier que</b> des progrès ont été faits.","<b>Нельзя отрицать, что</b> был достигнут прогресс.","Concession. Formel. + indicatif.",✅
tout le monde sait que,всем известно что,expr,"<b>Tout le monde sait que</b> fumer est dangereux.","<b>Всем известно, что</b> курить опасно.","Fait établi.",💯
comme chacun sait,как всем известно,expr,"<b>Comme chacun sait</b>, le réchauffement climatique est un problème.","<b>Как всем известно</b>, глобальное потепление — проблема.","Fait établi. Formel.",📢
de toute évidence,совершенно очевидно,adv,"<b>De toute évidence</b>, il ment.","<b>Совершенно очевидно</b>, он врёт.","Certitude.",💯
à vrai dire,по правде говоря,adv,"<b>À vrai dire</b>, je n'ai pas très envie d'y aller.","<b>По правде говоря</b>, мне не очень хочется туда идти.","Honnêteté/aveu.",🤫
franchement,честно говоря; откровенно,adv,"<b>Franchement</b>, je trouve ça ridicule.","<b>Честно говоря</b>, я нахожу это смешным.","Opinion directe.",💬
honnêtement,честно говоря,adv,"<b>Honnêtement</b>, je ne sais pas quoi faire.","<b>Честно говоря</b>, я не знаю, что делать.","Opinion sincère.",💬
