French,Russian,ExampleFrench,ExampleRussian,Emoji
un homme,мужчина; человек,C'est un <b>homme</b> honnête et travailleur.,Это честный и трудолюбивый <b>человек</b>.,👨
une femme,женщина,Cette <b>femme</b> est médecin depuis vingt ans.,Эта <b>женщина</b> работает врачом уже двадцать лет.,👩
un jour,день,Un <b>jour</b> je visiterai le Québec.,Однажды я посещу Квебек.,📅
une chose,вещь; дело,"Une <b>chose</b> est sûre, il faut agir vite.","Одно <b>дело</b> ясно — нужно действовать быстро.",📦
un temps,время; погода,Le <b>temps</b> passe vite quand on s'amuse.,<b>Время</b> летит быстро когда весело.,⏰
"petit, petite",маленький,Il habite dans un <b>petit</b> appartement au centre-ville.,Он живёт в <b>маленькой</b> квартире в центре города.,🐜
"grand, grande",большой; высокий,Elle a une <b>grande</b> maison avec un jardin.,У неё <b>большой</b> дом с садом.,🏠
"beau, belle",красивый,Quel <b>beau</b> coucher de soleil !,Какой <b>красивый</b> закат!,🌅
parler,говорить; разговаривать,Je <b>parle</b> français avec mes collègues québécois.,Я <b>говорю</b> по-французски с коллегами из Квебека.,🗣️
manger,есть; кушать,On va <b>manger</b> de la poutine ce soir.,Сегодня вечером будем <b>есть</b> путин.,🍽️
