French,Russian,WordType,ExampleFrench,ExampleRussian,Notes,Emoji
une maison,дом,f,"Nous avons acheté <b>une maison</b> dans la banlieue de Montréal.","Мы купили <b>дом</b> в пригороде Монреаля.","Женский род! Не путать с un bâtiment (здание).",🏠
un travail,работа,m,"Je cherche <b>un travail</b> dans le domaine de l'informatique.","Я ищу <b>работу</b> в сфере IT.","Множественное: des travaux.",💼
un appartement,квартира,m,"Mon <b>appartement</b> est au troisième étage.","Моя <b>квартира</b> на третьем этаже.","Разговорное: un appart.",🏢
améliorer,улучшать,v,"Il faut <b>améliorer</b> mon niveau de français.","Нужно <b>улучшить</b> мой уровень французского.","Groupe 1. Возвратная форма: s'améliorer.",📈
se débrouiller,"справляться, выкручиваться",v,"Ne t'inquiète pas, je vais <b>me débrouiller</b>.","Не волнуйся, я <b>справлюсь</b>.","Разговорное! Débrouillard = находчивый.",💪
cependant,"однако, тем не менее",conj,"Le projet est bon ; <b>cependant</b>, il manque de financement.","Проект хороший; <b>однако</b>, не хватает финансирования.","Connecteur TEF! Синонимы: néanmoins, toutefois.",↔️
par conséquent,"следовательно, поэтому",conj,"Il pleut ; <b>par conséquent</b>, je reste à la maison.","Идёт дождь; <b>следовательно</b>, я остаюсь дома.","Синонимы: donc, ainsi, c'est pourquoi.",➡️
important,важный,adj,"C'est une décision <b>importante</b> pour notre avenir.","Это <b>важное</b> решение для нашего будущего.","Женский: importante. Il est important de + inf.",⭐
rapidement,быстро,adv,"Il faut agir <b>rapidement</b> pour réussir.","Нужно действовать <b>быстро</b>, чтобы преуспеть.","От rapide + -ment. Синонимы: vite, promptement.",⚡
dans,"в, через (время)",prep,"Je serai au Canada <b>dans</b> deux ans.","Я буду в Канаде <b>через</b> два года.","Dans + время = через. Dans + место = в.",📍
celui-ci,этот (замещает сущ.),pron,"J'ai deux livres, <b>celui-ci</b> est plus intéressant.","У меня две книги, <b>эта</b> интереснее.","Женский: celle-ci. Множ.: ceux-ci, celles-ci.",👆
en effet,"действительно, в самом деле",loc,"Le Québec est attractif ; <b>en effet</b>, il offre beaucoup d'opportunités.","Квебек привлекателен; <b>действительно</b>, он предлагает много возможностей.","Для подтверждения. Синоним: effectivement.",✅
avoir beau,"сколько ни..., как ни старайся",expr,"J'<b>ai beau</b> étudier, je ne comprends pas.","<b>Сколько ни</b> учу, не понимаю.","Avoir beau + infinitif. Очень французская конструкция!",🤷
premier / première,первый / первая,num,"C'est la <b>première</b> fois que je visite le Canada.","Это <b>первый</b> раз, когда я посещаю Канаду.","Порядковое. Le premier ministre = премьер-министр.",1️⃣
une dizaine,"около десяти, десяток",num,"Il y a <b>une dizaine</b> de personnes dans la salle.","В зале <b>около десяти</b> человек.","Также: une vingtaine, une centaine, un millier.",🔟
hélas,"увы, к сожалению",interj,"<b>Hélas</b>, je n'ai pas réussi l'examen.","<b>Увы</b>, я не сдал экзамен.","Книжное. Разговорное: malheureusement.",😔
tiens / tenez,"вот, на; смотри-ка",interj,"<b>Tiens</b>, c'est pour toi !","<b>На</b>, это тебе!","Tiens = ты, tenez = вы. Также удивление.",🎁
voyons,"ну же; давай же",interj,"<b>Voyons</b>, ce n'est pas si difficile !","<b>Ну же</b>, это не так сложно!","Для ободрения или лёгкого упрёка.",👀
eh bien,"ну что ж; итак",interj,"<b>Eh bien</b>, commençons !","<b>Ну что ж</b>, начнём!","Для начала высказывания. Синоним: alors.",👉
